Objetivo,Nivel,Dias,Tiempo,Equipo_Disponible,Edad,Sexo,Rutina
Perder Grasa,Principiante,3,45,Solo_cuerpo,29,Masculino,Cardio para principiantes
Ganar Musculo,Avanzado,5,90,Gym_Completo,29,Femenino,Powerbuilding Femenino
Mantenerse,Avanzado,3,60,Solo_cuerpo,51,Masculino,Calistenia Avanzada
Perder Grasa,Intermedio,4,60,Mancuernas,32,Masculino,Circuito de Fuerza-Resistencia
Ganar Musculo,Principiante,3,60,Mancuernas,21,Masculino,Volumen con Mancuernas
Mantenerse,Principiante,4,45,Solo_cuerpo,37,Femenino,Yoga Vinyasa
Perder Grasa,Avanzado,6,40,Gym_Completo,27,Masculino,Doble Sesion Cardio-Pesas
Ganar Musculo,Intermedio,4,75,Gym_Completo,30,Femenino,Enfoque Gluteo y Hombro
Mantenerse,Intermedio,3,50,Solo_cuerpo,47,Masculino,Core y Estabilidad
Perder Grasa,Principiante,4,50,Mancuernas,25,Femenino,Cardio de Bajo Impacto con Pesas
Ganar Musculo,Avanzado,5,80,Gym_Completo,36,Masculino,Entrenamiento de Atleta
Mantenerse,Avanzado,4,75,Gym_Completo,49,Femenino,Anti-Aging Fitness
Perder Grasa,Intermedio,5,60,Gym_Completo,30,Masculino,Definicion Extrema
Ganar Musculo,Principiante,3,60,Gym_Completo,20,Masculino,Basicos de Fuerza
Mantenerse,Principiante,3,45,Mancuernas,58,Masculino,Acondicionamiento para Veteranos
Perder Grasa,Avanzado,5,45,Solo_cuerpo,26,Femenino,Insanity-style workout
Ganar Musculo,Intermedio,4,60,Solo_cuerpo,28,Masculino,Progresiones en Calistenia
Mantenerse,Intermedio,3,60,Gym_Completo,35,Femenino,Mantenimiento con Maquinas
Perder Grasa,Principiante,3,40,Solo_cuerpo,42,Masculino,Caminata y Trote
Ganar Musculo,Avanzado,4,90,Gym_Completo,31,Femenino,Fuerza y Estetica
Mantenerse,Avanzado,3,60,Mancuernas,53,Femenino,Fuerza para la Longevidad
Perder Grasa,Intermedio,4,55,Gym_Completo,28,Masculino,Rutina de Boxeo Fitness
Ganar Musculo,Principiante,4,70,Gym_Completo,22,Femenino,Iniciacion Woman Fitness
Mantenerse,Principiante,2,30,Solo_cuerpo,70,Masculino,Movilidad Articular Senior
Perder Grasa,Avanzado,5,60,Gym_Completo,33,Femenino,Ciclismo Indoor y Pesas
Ganar Musculo,Intermedio,5,75,Gym_Completo,27,Masculino,Classic Physique
Mantenerse,Intermedio,4,60,Solo_cuerpo,39,Femenino,Calistenia y Yoga
Perder Grasa,Principiante,3,50,Mancuernas,26,Masculino,Full Body Fat Burn
Ganar Musculo,Avanzado,5,90,Gym_Completo,25,Masculino,Powerbuilding Hibrido
Mantenerse,Avanzado,3,45,Solo_cuerpo,48,Masculino,Flexibilidad y Handstands
Perder Grasa,Intermedio,5,45,Gym_Completo,34,Femenino,Escaladora y Abs
Ganar Musculo,Principiante,3,60,Gym_Completo,19,Femenino,Mi Primera Rutina de Gym
Mantenerse,Principiante,3,45,Mancuernas,54,Femenino,Tonificacion Suave
Perder Grasa,Avanzado,4,75,Mancuernas,30,Masculino,CrossFit-style WODs
Ganar Musculo,Intermedio,4,70,Mancuernas,31,Masculino,Hipertrofia solo con mancuernas
Mantenerse,Intermedio,3,60,Solo_cuerpo,41,Masculino,Animal Flow
Perder Grasa,Principiante,4,40,Solo_cuerpo,23,Femenino,Rutina de Baile
Ganar Musculo,Avanzado,6,80,Gym_Completo,28,Masculino,Split de Doble Frecuencia
Mantenerse,Avanzado,4,60,Gym_Completo,47,Femenino,Levantamiento Olimpico
Perder Grasa,Intermedio,4,60,Gym_Completo,29,Masculino,Circuito en Maquinas
Ganar Musculo,Principiante,4,60,Mancuernas,27,Masculino,Basico con Mancuernas
Mantenerse,Principiante,3,50,Solo_cuerpo,62,Femenino,Fortalecimiento de Espalda
